"","posteam","n_pass","n_rush","epa_per_pass","epa_per_rush","success_per_pass","success_per_rush","off_epa","def_n_pass","def_n_rush","def_epa_per_pass","def_epa_per_rush","def_success_per_pass","def_success_per_rush","def_epa","team","url","primary","secondary","pass_ratio","EPA_diff","rush_ratio"
"1","ARI",668,360,0.0451733512268997,0.084620491117157,0.438622754491018,0.408333333333333,0.0589875247293244,704,414,0.261073698582873,-0.115753581979435,0.524147727272727,0.333333333333333,0.121533006138513,"Arizona Cardinals","https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png","#97233f","#000000",0.649805447470817,-0.0625454814091881,0.350194552529183
"2","ATL",804,343,0.128865639586168,-0.127518827961746,0.478855721393035,0.323615160349854,0.0521961780613778,625,391,0.169568443008546,-0.0645589675085424,0.488,0.40153452685422,0.0794662604178162,"Atlanta Falcons","https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Atlanta_Falcons_logo.svg/192px-Atlanta_Falcons_logo.svg.png","#a71930","#000000",0.700959023539669,-0.0272700823564383,0.299040976460331
"3","BAL",528,543,0.326228887463608,0.114048780802177,0.498106060606061,0.434622467771639,0.218652979044227,642,318,-0.0790973751060848,-0.0350798948727099,0.423676012461059,0.393081761006289,-0.0645165847787793,"Baltimore Ravens","https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Baltimore_Ravens_logo.svg/193px-Baltimore_Ravens_logo.svg.png","#241773","#000000",0.492997198879552,0.283169563823006,0.507002801120448
"4","BUF",619,417,0.0277538611297216,-0.0561922004795447,0.432956381260097,0.37410071942446,-0.00603523895817808,645,368,-0.0883792631003951,0.00375044696128562,0.418604651162791,0.388586956521739,-0.0549106221303077,"Buffalo Bills","https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png","#00338d","#c60c30",0.597490347490347,0.0488753831721297,0.402509652509652
"5","CAR",738,361,-0.0547297192429413,-0.0147037101388547,0.437669376693767,0.39612188365651,-0.0415819582906435,662,411,0.0646927287062097,0.108365850269725,0.459214501510574,0.435523114355231,0.0814212030422814,"Carolina Panthers","https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Carolina_Panthers_logo.svg/100px-Carolina_Panthers_logo.svg.png","#0085ca","#000000",0.671519563239309,-0.123003161332925,0.328480436760692
"6","CHI",681,371,0.0070785855325276,-0.18251149146423,0.44640234948605,0.339622641509434,-0.0597825537885724,659,394,0.0388947051708845,-0.111331471956838,0.462822458270106,0.299492385786802,-0.0173152794334105,"Chicago Bears","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/100px-Chicago_Bears_logo.svg.png","#0b162a","#c83803",0.647338403041825,-0.0424672743551618,0.352661596958175
"7","CIN",710,366,-0.064618839224194,-0.111240791856182,0.41830985915493,0.355191256830601,-0.0804772357514314,582,454,0.191994229422488,0.0063175129053309,0.458762886597938,0.400881057268722,0.11062624747385,"Cincinnati Bengals","https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Cincinnati_Bengals_logo.svg/100px-Cincinnati_Bengals_logo.svg.png","#000000","#fb4f14",0.659851301115242,-0.191103483225281,0.340148698884758
"8","CLE",648,378,0.00894894275211296,-0.0554014852603912,0.432098765432099,0.378306878306878,-0.0147591096735465,612,422,0.108839263862369,0.0211339160644118,0.468954248366013,0.398104265402844,0.0730446248191018,"Cleveland Browns","https://upload.wikimedia.org/wikipedia/en/thumb/d/d9/Cleveland_Browns_logo.svg/100px-Cleveland_Browns_logo.svg.png","#fb4f14","#22150c",0.631578947368421,-0.0878037344926483,0.368421052631579
"9","DAL",673,430,0.210302688150001,0.0487603182963436,0.509658246656761,0.418604651162791,0.147326061643136,684,374,0.040177827023484,-0.0598498169853994,0.463450292397661,0.401069518716578,0.00481833849860464,"Dallas Cowboys","https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Dallas_Cowboys.svg/100px-Dallas_Cowboys.svg.png","#002244","#b0b7bc",0.610154125113327,0.142507723144531,0.389845874886673
"10","DEN",604,388,0.0201200533446887,-0.0728580734970526,0.425496688741722,0.34020618556701,-0.0162463914280891,633,407,0.0614894828440775,-0.0701566897458804,0.459715639810427,0.363636363636364,0.0099702595324305,"Denver Broncos","https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/100px-Denver_Broncos_logo.svg.png","#002244","#fb4f14",0.608870967741935,-0.0262166509605196,0.391129032258065
"11","DET",678,380,0.0877262950389256,-0.139880730076463,0.448377581120944,0.371052631578947,0.00597707996912616,701,417,0.202517707192903,-0.0686547301248301,0.477888730385164,0.39568345323741,0.101373783792639,"Detroit Lions","https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Detroit_Lions_logo.svg/100px-Detroit_Lions_logo.svg.png","#005a8b","#b0b7bc",0.640831758034026,-0.0953967038235131,0.359168241965974
"12","GB",681,369,0.122425354164976,0.00954056082594556,0.447870778267254,0.401084010840108,0.0827544125058309,634,385,-0.0206593944608247,0.0502264939129024,0.425867507886435,0.415584415584416,0.00612281066565709,"Green Bay Packers","https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png","#203731","#ffb612",0.648571428571429,0.0766316018401738,0.351428571428571
"13","HOU",665,380,0.154595553243637,-0.00218813007540491,0.493233082706767,0.386842105263158,0.0975833047639851,684,373,0.187838922119375,-0.0533936508170918,0.473684210526316,0.353887399463807,0.102711438954472,"Houston Texans","https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png","#03202f","#a71930",0.636363636363636,-0.00512813419048695,0.363636363636364
"14","IND",621,432,0.033601527784148,0.0588755044017424,0.450885668276973,0.428240740740741,0.0439703387041867,657,353,0.128426071935861,-0.103884932425831,0.476407914764079,0.342776203966006,0.0472322258569727,"Indianapolis Colts","https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png","#002c5f","#a5acaf",0.58974358974359,-0.00326188715278594,0.41025641025641
"15","JAX",729,341,0.017812055762086,-0.121951803257417,0.422496570644719,0.310850439882698,-0.0267295105235687,617,408,0.132058451977831,0.0598944520700401,0.478119935170178,0.404411764705882,0.103333659819413,"Jacksonville Jaguars","https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Jacksonville_Jaguars_logo.svg/100px-Jacksonville_Jaguars_logo.svg.png","#000000","#006778",0.681308411214953,-0.130063170342981,0.318691588785047
"16","KC",687,339,0.258157882243225,-0.0461919202487562,0.502183406113537,0.377581120943953,0.157597859782424,716,374,0.0239694395492939,0.012386046150447,0.456703910614525,0.427807486631016,0.0199949541078547,"Kansas City Chiefs","https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Kansas_City_Chiefs_logo.svg/100px-Kansas_City_Chiefs_logo.svg.png","#e31837","#ffb612",0.669590643274854,0.137602905674569,0.330409356725146
"17","LA",710,384,0.0831455131686291,-0.0986726035584007,0.466197183098592,0.3984375,0.0193263570231269,663,412,0.0181806440361086,0.00218708977636588,0.443438914027149,0.410194174757282,0.0120510213802816,"Los Angeles Rams","https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png","#002244","#b3995d",0.648994515539305,0.00727533564284524,0.351005484460695
"18","LAC",685,357,0.133807354321998,-0.0858505336340133,0.496350364963504,0.378151260504202,0.0585502852238255,556,395,0.149194345802763,-0.0229800024827837,0.485611510791367,0.382278481012658,0.07768134099436,"Los Angeles Chargers","https://upload.wikimedia.org/wikipedia/en/thumb/7/72/NFL_Chargers_logo.svg/100px-NFL_Chargers_logo.svg.png","#002244","#0073cf",0.657389635316699,-0.0191310557705345,0.342610364683301
"19","MIA",756,304,0.00381904022767866,-0.207219146967259,0.452380952380952,0.309210526315789,-0.056705119118794,615,472,0.255781047324192,0.0169883142512278,0.507317073170732,0.398305084745763,0.152091838482942,"Miami Dolphins","https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png","#008e97","#f58220",0.713207547169811,-0.208796957601736,0.286792452830189
"20","MIN",534,463,0.219169696544381,-0.0419844612461487,0.49438202247191,0.362850971922246,0.0978914868583074,690,392,0.015229518257196,-0.0827285252292305,0.47536231884058,0.39030612244898,-0.0202599023035057,"Minnesota Vikings","https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png","#4f2683","#ffc62f",0.535606820461384,0.118151389161813,0.464393179538616
"21","NE",693,435,0.0625635233531497,-0.0385048158012119,0.428571428571429,0.404597701149425,0.0235877010728773,652,331,-0.225580690858535,-0.128982573206119,0.401840490797546,0.347432024169184,-0.193053756023388,"New England Patriots","https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/100px-New_England_Patriots_logo.svg.png","#002244","#c60c30",0.61436170212766,0.216641457096265,0.38563829787234
"22","NO",653,386,0.222203132896083,-0.0517355987597219,0.516079632465544,0.38860103626943,0.120431862040317,729,318,0.0704185273584389,-0.161681438545586,0.454046639231824,0.308176100628931,-7.60181596889341e-05,"New Orleans Saints","https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/New_Orleans_Saints_logo.svg/98px-New_Orleans_Saints_logo.svg.png","#9f8958","#000000",0.628488931665063,0.120507880200006,0.371511068334937
"23","NYG",718,335,-0.0238509672012483,-0.0884850121807751,0.445682451253482,0.376119402985075,-0.0444135551102146,656,429,0.23047148553694,-0.0969455151281752,0.489329268292683,0.300699300699301,0.101013519375342,"New York Giants","https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/New_York_Giants_logo.svg/100px-New_York_Giants_logo.svg.png","#0b2265","#a71930",0.681861348528015,-0.145427074485556,0.318138651471985
"24","NYJ",625,365,-0.105743755593441,-0.169284244247876,0.408,0.323287671232877,-0.129170299390278,692,376,0.084421111939761,-0.171220292414783,0.452312138728324,0.308510638297872,-0.00557998172813084,"New York Jets","https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/New_York_Jets_logo.svg/100px-New_York_Jets_logo.svg.png","#125740","#000000",0.631313131313131,-0.123590317662147,0.368686868686869
"25","OAK",586,413,0.160048027123534,-0.0311004132494023,0.493174061433447,0.36319612590799,0.0810246979203079,644,373,0.273857294113219,-0.0653218317238738,0.501552795031056,0.386058981233244,0.149458263693125,"Oakland Raiders","https://upload.wikimedia.org/wikipedia/en/thumb/e/ec/Oakland_Raiders_logo.svg/100px-Oakland_Raiders_logo.svg.png","#a5acaf","#000000",0.586586586586587,-0.0684335657728172,0.413413413413413
"26","PHI",718,426,0.103358808584519,-0.0367470018570546,0.487465181058496,0.384976525821596,0.0511865400109962,667,332,0.0813022931831133,-0.160166653750621,0.43928035982009,0.319277108433735,0.00105435486279319,"Philadelphia Eagles","https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Philadelphia_Eagles_logo.svg/100px-Philadelphia_Eagles_logo.svg.png","#004953","#a5acaf",0.627622377622378,0.050132185148203,0.372377622377622
"27","PIT",605,370,-0.0333763601379332,-0.182695917769243,0.426446280991736,0.324324324324324,-0.0900412179057123,629,436,-0.0746524043189836,-0.112532608580922,0.41335453100159,0.353211009174312,-0.0901601686928853,"Pittsburgh Steelers","https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png","#000000","#ffb612",0.620512820512821,0.000118950787173069,0.379487179487179
"28","SEA",652,432,0.124252238781691,-0.0747082956179991,0.478527607361963,0.395833333333333,0.0449616937072756,689,362,0.103891222912786,-0.0721775349360108,0.500725689404935,0.375690607734807,0.0432471788202414,"Seattle Seahawks","https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Seattle_Seahawks_logo.svg/100px-Seattle_Seahawks_logo.svg.png","#002244","#69be28",0.601476014760148,0.00171451488703414,0.398523985239852
"29","SF",564,469,0.212475902813504,-0.029095404503725,0.50177304964539,0.356076759061834,0.102798319917298,636,378,-0.131227872765931,-0.101013073974344,0.39937106918239,0.417989417989418,-0.119964367890961,"San Francisco 49ers","https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/San_Francisco_49ers_logo.svg/100px-San_Francisco_49ers_logo.svg.png","#aa0000","#b3995d",0.545982575024201,0.222762687808259,0.454017424975799
"30","TB",745,370,0.0985225492160684,-0.110623333495638,0.481879194630872,0.318918918918919,0.0291198796166679,785,332,0.0352267838218081,-0.216575777477891,0.430573248407643,0.301204819277108,-0.0396151591965447,"Tampa Bay Buccaneers","https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Tampa_Bay_Buccaneers_logo.svg/100px-Tampa_Bay_Buccaneers_logo.svg.png","#d50a0a","#34302b",0.668161434977579,0.0687350388132127,0.331838565022422
"31","TEN",560,407,0.16293156294182,-0.00543669941571778,0.480357142857143,0.405405405405405,0.0920671546899918,712,383,0.0693396919526617,-0.109811536877786,0.466292134831461,0.349869451697128,0.00667766396904398,"Tennessee Titans","http://habitatring.com/titans.png","#002244","#4b92db",0.579110651499483,0.0853894907209478,0.420889348500517
"32","WAS",577,341,-0.104627465118715,-0.128504861084728,0.426343154246101,0.313782991202346,-0.113496955341384,643,471,0.195735050112948,-0.0241372279255487,0.47900466562986,0.380042462845011,0.102772893060765,"Washington Redskins","https://upload.wikimedia.org/wikipedia/en/thumb/6/63/Washington_Redskins_logo.svg/100px-Washington_Redskins_logo.svg.png","#773141","#ffb612",0.628540305010893,-0.216269848402149,0.371459694989107
